date,demand,temp
2015-01-01,1.736065,1.7
2015-01-02,1.831672,2.2
2015-01-03,1.714934,14.4
2015-01-04,1.628577,15.6
2015-01-05,2.045394,0.0
2015-01-06,2.122799,-6.7
2015-01-07,2.243265,-9.4
2015-01-08,2.2409749999999997,-8.9
2015-01-09,2.128072,-6.1
2015-01-10,1.9797339999999999,-8.9
2015-01-11,1.848006,2.8
2015-01-12,1.9547729999999999,2.2
2015-01-13,2.050525,-3.3
2015-01-14,2.053841,-4.4
2015-01-15,1.996889,-1.1
2015-01-16,1.938242,0.6
2015-01-17,1.688093,10.0
2015-01-18,1.6824590000000001,7.2
2015-01-19,1.846124,3.3
2015-01-20,1.940944,1.1
2015-01-21,1.958137,1.7
2015-01-22,1.9629,1.1
2015-01-23,1.89226,1.1
2015-01-24,1.7430530000000002,-0.6
2015-01-25,1.747487,1.7
2015-01-26,1.957972,-1.7
2015-01-27,2.104436,-5.6
2015-01-28,2.025296,-4.4
2015-01-29,2.040911,3.3
2015-01-30,2.0329,-0.6
2015-01-31,1.827758,-2.2
2015-02-01,1.7790599999999999,2.2
2015-02-02,2.0927379999999998,3.9
2015-02-03,2.046704,-3.3
2015-02-04,1.919818,5.6
2015-02-05,2.105683,-3.9
2015-02-06,2.060245,-2.2
2015-02-07,1.727011,7.8
2015-02-08,1.6181189999999999,11.7
2015-02-09,1.9443119999999998,6.7
2015-02-10,1.937798,-0.6
2015-02-11,1.934597,2.8
2015-02-12,2.11002,0.6
2015-02-13,2.105359,-7.2
2015-02-14,1.981781,-2.2
2015-02-15,2.061238,-15.0
2015-02-16,2.208835,-12.2
2015-02-17,2.094238,-6.7
2015-02-18,2.2203180000000002,-6.7
2015-02-19,2.314347,-14.4
2015-02-20,2.244704,-11.7
2015-02-21,1.924774,1.1
2015-02-22,1.805223,0.6
2015-02-23,2.1225970000000003,-5.6
2015-02-24,2.130849,-3.3
2015-02-25,1.998442,0.6
2015-02-26,2.086202,-6.1
2015-02-27,2.065648,-8.3
2015-02-28,1.839992,-3.9
2015-03-01,1.798751,1.1
2015-03-02,1.94199,0.6
2015-03-03,1.957423,9.4
2015-03-04,1.959039,6.7
2015-03-05,2.122452,-2.2
2015-03-06,2.071264,-5.0
2015-03-07,1.787719,4.4
