,A,C,E,class
0,-0.386248049969353,1.5366275900682296,1.232589455019536,1
1,-2.6866488085972504,4.640701942313879,0.8234333826533671,1
2,0.4741236846929793,1.5766159148312942,-1.2562338062625318,0
3,-1.3437902597988067,-0.5140077296076413,1.5203922121043554,2
4,-2.187600388161494,0.2890411906499857,1.3183214731835458,2
5,2.7762584168589104,0.08271374369828,2.5555173134047573,1
6,0.9357426110850029,-1.0203591682317872,-0.7317778142198601,2
7,1.5356663813160467,0.8936480560950388,-1.3476272012267163,0
8,-0.394415241199108,0.8746128882302775,-1.1226407463419468,0
9,-0.9641233568503345,-0.8307501479056385,1.035300060585737,2
10,3.155012144637025,-0.2981589220622991,0.4188770845831171,2
11,-2.9602964158295317,0.09277428083168648,-0.1192584862173185,1
12,-1.3719760363077684,1.2290815563193058,-0.8709211109251321,0
13,-0.3113242708571541,1.5125836388413019,-0.6147291787502918,0
14,-0.9527701294316332,-0.07489409288103777,-1.3202036126728296,0
15,0.3822269204116743,-1.3657435898158474,-0.5869524644904051,2
16,-1.0520077712907916,-1.0649027040614674,0.473618850658188,2
17,-0.7044646688809459,2.641855624247387,0.5723887296911736,2
18,-1.1813661609790034,1.8169016188934048,-2.3072735560373765,0
19,-1.4266658931239578,-0.49733292634450776,1.7170243747349594,0
20,-1.6877146976237554,1.605469162200357,-2.5338750159581953,0
21,1.7798306398819892,0.34472090087502627,2.173305769238489,1
22,-0.46098446186287356,1.2068235344046552,0.2544413302438353,1
23,-0.7438695949527385,1.4475694463341164,-2.0093276459567586,1
24,1.7761609557279792,0.2948552923404969,1.3504406387349461,1
25,-2.134187118419801,0.14134787473404975,1.8527334815089491,1
26,3.938990539301863,-2.309149047443509,2.191280049225817,1
27,-1.2414724213733241,2.32933511937349,0.6127335677105907,0
28,0.44112315098217203,1.9657781337435745,-0.6337810289372448,0
29,-1.857998441016154,2.350974720327047,0.8667477743342766,0
30,-1.5957857701642293,-0.2239241796082161,2.5545223468952,2
31,-0.9895101396517514,1.4669746074298162,0.6131430561431257,1
32,-2.103149720142086,-0.10312688164032169,1.139749675688402,1
33,-2.1713444842239125,2.962568423345499,1.4773111465743822,0
34,-1.7474327041747282,0.3718654929062488,2.682096004095355,1
35,-1.3816698835204781,1.058680369928539,0.745084989581552,1
36,-1.342459095111548,1.9830607820577664,-2.2062665400460038,0
37,-0.6343837354303115,0.9754281313163025,-2.530274371450953,0
38,1.9989322411818218,-0.4877257434328196,-0.678363936874696,2
39,-1.1250080043933188,0.6391671566990953,-0.7354654548263138,0
40,-0.2248664323612558,-0.8061262568655154,2.3761542475359207,2
41,-3.2418831335736704,0.4832384729924861,-0.4530371268812263,2
42,1.2825913560670772,1.805577353752105,2.79841626980562,1
43,2.6426027828305982,-0.9057153676600855,-0.4738701483976665,2
44,-1.911919228771851,1.746424917212679,0.13612524193501851,0
45,-0.03275741274058053,-1.4404520003592354,1.8987931685553,2
46,-1.3555866299973562,-0.6894537737038405,0.9421276959612157,2
